Time : 46:34.196, Frame: 5504.000, Current FPS : 36.676, Average FPS : 42.152, Total FPS : 46.398
Time : 46:34.699, Frame: 5517.000, Current FPS : 25.816, Average FPS : 40.518, Total FPS : 46.311
Time : 46:35.219, Frame: 5531.000, Current FPS : 26.943, Average FPS : 39.161, Total FPS : 46.227
Time : 46:35.737, Frame: 5545.000, Current FPS : 27.000, Average FPS : 37.944, Total FPS : 46.144
Time : 46:36.257, Frame: 5558.000, Current FPS : 24.998, Average FPS : 36.650, Total FPS : 46.052
Time : 46:36.763, Frame: 5573.000, Current FPS : 29.668, Average FPS : 35.952, Total FPS : 45.984
Time : 46:37.286, Frame: 5587.000, Current FPS : 26.768, Average FPS : 35.033, Total FPS : 45.902
Time : 46:37.806, Frame: 5600.000, Current FPS : 24.995, Average FPS : 34.029, Total FPS : 45.813
Time : 46:38.324, Frame: 5613.000, Current FPS : 25.087, Average FPS : 33.135, Total FPS : 45.725
Time : 46:38.845, Frame: 5625.000, Current FPS : 23.071, Average FPS : 32.129, Total FPS : 45.629
Time : 46:39.364, Frame: 5638.000, Current FPS : 25.026, Average FPS : 31.418, Total FPS : 45.543
Time : 46:39.883, Frame: 5651.000, Current FPS : 25.049, Average FPS : 30.782, Total FPS : 45.457
Time : 46:40.387, Frame: 5664.000, Current FPS : 25.817, Average FPS : 30.285, Total FPS : 45.378
Time : 46:40.908, Frame: 5678.000, Current FPS : 26.883, Average FPS : 29.945, Total FPS : 45.301
Time : 46:41.426, Frame: 5691.000, Current FPS : 25.095, Average FPS : 29.460, Total FPS : 45.218
Time : 46:41.946, Frame: 5705.000, Current FPS : 26.921, Average FPS : 29.206, Total FPS : 45.143
Time : 46:42.449, Frame: 5719.000, Current FPS : 27.832, Average FPS : 29.069, Total FPS : 45.074
Time : 46:42.968, Frame: 5734.000, Current FPS : 28.881, Average FPS : 29.050, Total FPS : 45.008
Time : 46:43.490, Frame: 5747.000, Current FPS : 24.933, Average FPS : 28.638, Total FPS : 44.926
Time : 46:44.010, Frame: 5763.000, Current FPS : 30.826, Average FPS : 28.857, Total FPS : 44.869
Time : 46:44.515, Frame: 5779.000, Current FPS : 31.706, Average FPS : 29.142, Total FPS : 44.817
Time : 46:45.037, Frame: 5796.000, Current FPS : 32.565, Average FPS : 29.484, Total FPS : 44.768
Time : 46:45.557, Frame: 5813.000, Current FPS : 32.736, Average FPS : 29.809, Total FPS : 44.719
Time : 46:46.077, Frame: 5828.000, Current FPS : 28.835, Average FPS : 29.712, Total FPS : 44.656
Time : 46:46.600, Frame: 5845.000, Current FPS : 32.514, Average FPS : 29.992, Total FPS : 44.608
